number,Family,Genus,species,sci_name,variant,sugar_concentration,type,europe,north_america,south_america,africa,asia,australia,reference,notes
339,Asteraceae,Helianthus,annuus,Helianthus annuus,3230 (female),32.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
340,Asteraceae,Helianthus,annuus,Helianthus annuus,265 R,28.0,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
341,Asteraceae,Helianthus,annuus,Helianthus annuus,Felix,32.0,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
342,Asteraceae,Helianthus,annuus,Helianthus annuus,Romsun 59,34.4,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
343,Asteraceae,Helianthus,annuus,Helianthus annuus,Select,28.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
344,Asteraceae,Helianthus,annuus,Helianthus annuus,Sorem 80,40.1,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
345,Asteraceae,Helianthus,annuus,Helianthus annuus,Super,31.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
346,Asteraceae,Helianthus,annuus,Helianthus annuus,Fundulea 56,39.4,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
347,Asteraceae,Helianthus,annuus,Helianthus annuus,Florom 206,29.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
348,Asteraceae,Helianthus,annuus,Helianthus annuus,Florom 305,39.8,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
349,Asteraceae,Helianthus,annuus,Helianthus annuus,RO 44,34.3,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
350,Asteraceae,Helianthus,annuus,Helianthus annuus,RO 134,34.1,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
351,Asteraceae,Helianthus,annuus,Helianthus annuus,RO 141,35.0,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
352,Asteraceae,Helianthus,annuus,Helianthus annuus,Sumbreg 254,41.4,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
353,Asteraceae,Helianthus,annuus,Helianthus annuus,Sigco 448,38.8,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
354,Asteraceae,Helianthus,annuus,Helianthus annuus,Interstat 7111,42.8,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
355,Asteraceae,Helianthus,annuus,Helianthus annuus,Triumph 570,38.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
356,Asteraceae,Helianthus,annuus,Helianthus annuus,Cargill 207,36.3,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
357,Asteraceae,Helianthus,annuus,Helianthus annuus,NS-H3,35.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
358,Asteraceae,Helianthus,annuus,Helianthus annuus,NS-H4,36.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
359,Asteraceae,Helianthus,annuus,Helianthus annuus,NS-H5,40.7,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
360,Asteraceae,Helianthus,annuus,Helianthus annuus,NS-H26,33.7,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
361,Asteraceae,Helianthus,annuus,Helianthus annuus,NS-H27,40.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
362,Asteraceae,Helianthus,annuus,Helianthus annuus,NS Condor,29.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
363,Asteraceae,Helianthus,annuus,Helianthus annuus,NS Helios,35.0,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
364,Asteraceae,Helianthus,annuus,Helianthus annuus,NS Shine,26.4,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
365,Asteraceae,Helianthus,annuus,Helianthus annuus,NS Flower,30.6,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
366,Asteraceae,Helianthus,annuus,Helianthus annuus,Hysun,37.4,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
367,Asteraceae,Helianthus,annuus,Helianthus annuus,26 R,27.7,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
368,Asteraceae,Helianthus,annuus,Helianthus annuus,Peredovic,35.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
369,Asteraceae,Helianthus,annuus,Helianthus annuus,H 13/80,42.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
370,Asteraceae,Helianthus,annuus,Helianthus annuus,H 1414/7,36.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
371,Asteraceae,Helianthus,annuus,Helianthus annuus,H 219/79/6,35.8,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
372,Asteraceae,Helianthus,annuus,Helianthus annuus,211/79,52.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
373,Asteraceae,Helianthus,annuus,Helianthus annuus,IH-51,35.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
374,Asteraceae,Helianthus,annuus,Helianthus annuus,IH-56,30.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
375,Asteraceae,Helianthus,annuus,Helianthus annuus,IH-173,37.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
376,Asteraceae,Helianthus,annuus,Helianthus annuus,IBH-160,36.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
377,Asteraceae,Helianthus,annuus,Helianthus annuus,Koflor 3,36.3,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
378,Asteraceae,Helianthus,annuus,Helianthus annuus,Citosol 4,39.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
379,Asteraceae,Helianthus,annuus,Helianthus annuus,Adalid 8,29.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
380,Asteraceae,Helianthus,annuus,Helianthus annuus,Arbums 363,35.6,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
381,Asteraceae,Helianthus,annuus,Helianthus annuus,P-75,27.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
382,Asteraceae,Helianthus,annuus,Helianthus annuus,Pacific 308,26.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",Plovdiv area Bulgaria (Tab.1)
383,Asteraceae,Helianthus,annuus,Helianthus annuus,Start ,30.8,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
384,Asteraceae,Helianthus,annuus,Helianthus annuus,260,34.3,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
385,Asteraceae,Helianthus,annuus,Helianthus annuus,273,24.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
386,Asteraceae,Helianthus,annuus,Helianthus annuus,617,30.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
387,Asteraceae,Helianthus,annuus,Helianthus annuus,783,36.1,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
388,Asteraceae,Helianthus,annuus,Helianthus annuus,1607 (male),33.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
389,Asteraceae,Helianthus,annuus,Helianthus annuus,1607 (female),33.7,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
390,Asteraceae,Helianthus,annuus,Helianthus annuus,3004 (female),32.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
391,Asteraceae,Helianthus,annuus,Helianthus annuus,3230 (female),34.7,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
392,Asteraceae,Helianthus,annuus,Helianthus annuus,265 R,32.1,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
393,Asteraceae,Helianthus,annuus,Helianthus annuus,Felix,28.0,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
394,Asteraceae,Helianthus,annuus,Helianthus annuus,Romsun 59,32.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
395,Asteraceae,Helianthus,annuus,Helianthus annuus,Select,33.1,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
396,Asteraceae,Helianthus,annuus,Helianthus annuus,Sorem 80,29.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
397,Asteraceae,Helianthus,annuus,Helianthus annuus,Super,27.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
398,Asteraceae,Helianthus,annuus,Helianthus annuus,Fundulea 56,30.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
399,Asteraceae,Helianthus,annuus,Helianthus annuus,Florom 206,30.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
400,Asteraceae,Helianthus,annuus,Helianthus annuus,Florom 305,28.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
401,Asteraceae,Helianthus,annuus,Helianthus annuus,RO 44,33.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
402,Asteraceae,Helianthus,annuus,Helianthus annuus,RO 134,38.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
403,Asteraceae,Helianthus,annuus,Helianthus annuus,RO 141,37.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
404,Asteraceae,Helianthus,annuus,Helianthus annuus,Sumbreg 254,39.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
405,Asteraceae,Helianthus,annuus,Helianthus annuus,Sigco 448,30.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
406,Asteraceae,Helianthus,annuus,Helianthus annuus,Interstat 7111,30.0,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
407,Asteraceae,Helianthus,annuus,Helianthus annuus,Triumph 570,27.0,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
408,Asteraceae,Helianthus,annuus,Helianthus annuus,Cargill 207,29.7,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
409,Asteraceae,Helianthus,annuus,Helianthus annuus,NS-H3,38.4,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
410,Asteraceae,Helianthus,annuus,Helianthus annuus,NS-H4,40.1,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
411,Asteraceae,Helianthus,annuus,Helianthus annuus,NS-H5,37.0,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
412,Asteraceae,Helianthus,annuus,Helianthus annuus,NS-H26,29.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
413,Asteraceae,Helianthus,annuus,Helianthus annuus,NS-H27,29.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
414,Asteraceae,Helianthus,annuus,Helianthus annuus,NS Condor,26.8,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
415,Asteraceae,Helianthus,annuus,Helianthus annuus,NS Helios,26.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
416,Asteraceae,Helianthus,annuus,Helianthus annuus,NS Shine,30.6,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
417,Asteraceae,Helianthus,annuus,Helianthus annuus,NS Flower,29.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
418,Asteraceae,Helianthus,annuus,Helianthus annuus,Hysun,29.4,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
419,Asteraceae,Helianthus,annuus,Helianthus annuus,26 R,34.8,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
420,Asteraceae,Helianthus,annuus,Helianthus annuus,Peredovic,30.5,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
421,Asteraceae,Helianthus,annuus,Helianthus annuus,H 13/80,27.4,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
422,Asteraceae,Helianthus,annuus,Helianthus annuus,H 1414/7,26.4,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
423,Asteraceae,Helianthus,annuus,Helianthus annuus,H 219/79/6,27.3,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
424,Asteraceae,Helianthus,annuus,Helianthus annuus,211/79,29.6,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
425,Asteraceae,Helianthus,annuus,Helianthus annuus,IH-51,31.3,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
426,Asteraceae,Helianthus,annuus,Helianthus annuus,IH-56,33.8,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
427,Asteraceae,Helianthus,annuus,Helianthus annuus,IH-173,32.9,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
428,Asteraceae,Helianthus,annuus,Helianthus annuus,IBH-160,32.2,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
429,Asteraceae,Helianthus,annuus,Helianthus annuus,Koflor 3,28.4,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
430,Asteraceae,Helianthus,annuus,Helianthus annuus,Citosol 4,30.8,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
431,Asteraceae,Helianthus,annuus,Helianthus annuus,Adalid 8,31.0,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
432,Asteraceae,Helianthus,annuus,Helianthus annuus,Arbums 363,29.8,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
433,Asteraceae,Helianthus,annuus,Helianthus annuus,P-75,31.4,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
434,Asteraceae,Helianthus,annuus,Helianthus annuus,Pacific 308,27.1,crop,yes,yes,yes,yes,yes,yes,"Simidtschiev T. (1988) Nektarproducktivität von sonnenblumensorten, hybriden und Linien verschiedener Herkunft. Die Biene",G.Toschevo area Bulgaria (Tab.1)
435,Rosaceae,Malus,domestica,Malus domestica,Booskoop,45.3,crop,yes,yes,yes,yes,yes,yes,"Pickhardt, A., & Fluri, P. (2000). Die Bestäubung der Blütenpflanzen durch Bienen. Biologie, Oekologie, Oekonomie. Mitt. Schweizerisches Zentrum für Bienenforschung, 38, 75. (citing Kugler 1955 Mantinger 1998)",
436,Rosaceae,Malus,domestica,Malus domestica,Jonathan,47.4,crop,yes,yes,yes,yes,yes,yes,"Pickhardt, A., & Fluri, P. (2000). Die Bestäubung der Blütenpflanzen durch Bienen. Biologie, Oekologie, Oekonomie. Mitt. Schweizerisches Zentrum für Bienenforschung, 38, 75. (citing Kugler 1955 Mantinger 1998)",
437,Rosaceae,Malus,domestica,Malus domestica.,Yellow Transp.,32.9,crop,yes,yes,yes,yes,yes,yes,"Pickhardt, A., & Fluri, P. (2000). Die Bestäubung der Blütenpflanzen durch Bienen. Biologie, Oekologie, Oekonomie. Mitt. Schweizerisches Zentrum für Bienenforschung, 38, 75. (citing Kugler 1955 Mantinger 1998)",
